title,author,rating
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.33 avg rating — 8,174,005 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling," 4.50 avg rating — 3,232,178 ratings"
Pride and Prejudice,Jane Austen," 4.28 avg rating — 4,056,965 ratings"
To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 5,830,400 ratings"
The Book Thief,Markus Zusak," 4.39 avg rating — 2,432,617 ratings"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer," 3.64 avg rating — 6,286,958 ratings"
Animal Farm,George Orwell," 3.98 avg rating — 3,683,803 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien," 4.61 avg rating — 129,778 ratings"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis," 4.27 avg rating — 629,376 ratings"
The Fault in Our Stars,John Green," 4.14 avg rating — 4,891,167 ratings"
The Picture of Dorian Gray,Oscar Wilde," 4.12 avg rating — 1,431,315 ratings"
Gone with the Wind,Margaret Mitchell," 4.31 avg rating — 1,190,005 ratings"
The Giving Tree,Shel Silverstein," 4.38 avg rating — 1,084,643 ratings"
Wuthering Heights,Emily Brontë," 3.88 avg rating — 1,725,488 ratings"
The Perks of Being a Wallflower,Stephen Chbosky," 4.23 avg rating — 1,711,098 ratings"
Jane Eyre,Charlotte Brontë," 4.14 avg rating — 2,020,080 ratings"
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown," 3.91 avg rating — 2,287,708 ratings"
The Great Gatsby,F. Scott Fitzgerald," 3.93 avg rating — 4,967,779 ratings"
The Little Prince,Antoine de Saint-Exupéry," 4.32 avg rating — 1,989,589 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan," 4.30 avg rating — 2,783,590 ratings"
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll," 4.06 avg rating — 547,226 ratings"
Memoirs of a Geisha,Arthur Golden," 4.15 avg rating — 1,955,379 ratings"
"Divergent (Divergent, #1)",Veronica Roth," 4.15 avg rating — 3,794,387 ratings"
Crime and Punishment,Fyodor Dostoevsky," 4.26 avg rating — 850,703 ratings"
Les Misérables,Victor Hugo," 4.20 avg rating — 779,571 ratings"
Lord of the Flies,William Golding," 3.69 avg rating — 2,799,193 ratings"
Romeo and Juliet,William Shakespeare," 3.74 avg rating — 2,515,259 ratings"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.30 avg rating — 937,765 ratings"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare," 4.08 avg rating — 1,947,350 ratings"
The Help,Kathryn Stockett," 4.47 avg rating — 2,651,903 ratings"
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card," 4.31 avg rating — 1,334,337 ratings"
Dracula,Bram Stoker," 4.01 avg rating — 1,207,510 ratings"
Charlotte's Web,E.B. White," 4.19 avg rating — 1,757,650 ratings"
Of Mice and Men,John Steinbeck," 3.88 avg rating — 2,452,596 ratings"
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams," 4.23 avg rating — 1,777,340 ratings"
The Alchemist,Paulo Coelho," 3.90 avg rating — 2,886,455 ratings"
The Catcher in the Rye,J.D. Salinger," 3.80 avg rating — 3,387,669 ratings"
Fahrenheit 451,Ray Bradbury," 3.97 avg rating — 2,287,012 ratings"
Brave New World,Aldous Huxley," 3.99 avg rating — 1,782,895 ratings"
One Hundred Years of Solitude,Gabriel García Márquez," 4.11 avg rating — 934,944 ratings"
The Time Traveler's Wife,Audrey Niffenegger," 3.99 avg rating — 1,753,173 ratings"
A Thousand Splendid Suns,Khaled Hosseini," 4.42 avg rating — 1,467,402 ratings"
The Princess Bride,William Goldman," 4.26 avg rating — 881,899 ratings"
The Secret Garden,Frances Hodgson Burnett," 4.15 avg rating — 1,122,659 ratings"
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling," 4.47 avg rating — 9,527,483 ratings"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin," 4.44 avg rating — 2,402,221 ratings"
The Outsiders,S.E. Hinton," 4.12 avg rating — 1,261,719 ratings"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle," 3.98 avg rating — 1,171,410 ratings"
